"filename", "language", "TypeScript", "JSON with Comments", "JSON", "Docker", "JavaScript", "PostCSS", "Markdown", "XML", "TypeScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\berni\Projects\DivorceSite\frontend\Dockerfile", "Docker", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\berni\Projects\DivorceSite\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 14, 74
"c:\Users\berni\Projects\DivorceSite\frontend\eslint.config.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\berni\Projects\DivorceSite\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 3, 5, 33
"c:\Users\berni\Projects\DivorceSite\frontend\package-lock.json", "JSON", 0, 0, 9079, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9080
"c:\Users\berni\Projects\DivorceSite\frontend\package.json", "JSON", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\berni\Projects\DivorceSite\frontend\postcss.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\berni\Projects\DivorceSite\frontend\public\apple-touch-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\berni\Projects\DivorceSite\frontend\public\icon-192.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\berni\Projects\DivorceSite\frontend\public\icon-512.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\berni\Projects\DivorceSite\frontend\public\pdf.worker.min.mjs", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 26, 0, 28
"c:\Users\berni\Projects\DivorceSite\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\berni\Projects\DivorceSite\frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 6, 43
"c:\Users\berni\Projects\DivorceSite\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 5, 56
"c:\Users\berni\Projects\DivorceSite\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\AdUnit.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 4, 6, 76
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 6, 65
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\InfoTooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 3, 8, 96
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\OfflineIndicator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 6, 34
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\PWAInstallPrompt.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 2, 12, 90
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\ThemeToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 1, 6, 53
"c:\Users\berni\Projects\DivorceSite\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 393, 0, 0, 0, 0, 33, 81, 507
"c:\Users\berni\Projects\DivorceSite\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\DashboardPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 549, 0, 25, 24, 598
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\DataValidationPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 485, 0, 36, 55, 576
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\ExportPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 6, 16, 168
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\GlossaryPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 178, 0, 7, 13, 198
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\GuidePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 10, 13, 209
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\LandingPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 10, 16, 152
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\MethodologyPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 7, 13, 206
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\PrivacyPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 3, 18, 203
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\ProfilePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 263, 0, 14, 20, 297
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\QuizPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 244, 0, 13, 17, 274
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\ScannerPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 645, 0, 26, 54, 725
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\TermsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 3, 16, 201
"c:\Users\berni\Projects\DivorceSite\frontend\src\services\adManager.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 32
"c:\Users\berni\Projects\DivorceSite\frontend\src\services\errorSystem.ts", "TypeScript", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 131
"c:\Users\berni\Projects\DivorceSite\frontend\src\services\imageProcessor.ts", "TypeScript", 329, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 65, 429
"c:\Users\berni\Projects\DivorceSite\frontend\src\services\legalEngine.ts", "TypeScript", 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 25, 218
"c:\Users\berni\Projects\DivorceSite\frontend\src\services\ocrWorker.ts", "TypeScript", 537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 79, 645
"c:\Users\berni\Projects\DivorceSite\frontend\src\services\pdfGenerator.ts", "TypeScript", 985, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 90, 1121
"c:\Users\berni\Projects\DivorceSite\frontend\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 1, 9
"c:\Users\berni\Projects\DivorceSite\frontend\tsconfig.app.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 3, 29
