"filename", "language", "TypeScript", "TypeScript JSX", "XML", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\berni\Projects\DivorceSite\frontend\index.html", "HTML", 0, 0, 0, 0, 139, 9, 6, 154
"c:\Users\berni\Projects\DivorceSite\frontend\public\sitemap.xml", "XML", 0, 0, 51, 0, 0, 0, 1, 52
"c:\Users\berni\Projects\DivorceSite\frontend\src\App.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\AdUnit.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\Footer.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\GuidedModeToggle.tsx", "TypeScript JSX", 0, 97, 0, 0, 0, 9, 7, 113
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\GuidedTooltip.tsx", "TypeScript JSX", 0, 124, 0, 0, 0, 30, 17, 171
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\OfflineIndicator.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\PWAInstallPrompt.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\berni\Projects\DivorceSite\frontend\src\components\SEO.tsx", "TypeScript JSX", 0, 182, 0, 0, 0, 28, 21, 231
"c:\Users\berni\Projects\DivorceSite\frontend\src\index.css", "PostCSS", 0, 0, 0, 250, 0, 32, 23, 305
"c:\Users\berni\Projects\DivorceSite\frontend\src\main.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\CalculationChoicePage.tsx", "TypeScript JSX", 0, 407, 0, 0, 0, 17, 25, 449
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\DashboardPage.tsx", "TypeScript JSX", 0, 71, 0, 0, 0, 4, 7, 82
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\DataValidationPage.tsx", "TypeScript JSX", 0, -35, 0, 0, 0, -4, -14, -53
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\DisclaimerPage.tsx", "TypeScript JSX", 0, 202, 0, 0, 0, 10, 16, 228
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\ExportPage.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 1, 0, 32
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\GlossaryPage.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 0, 0, 47
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\GuidePage.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 0, 0, 43
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\LandingPage.tsx", "TypeScript JSX", 0, 46, 0, 0, 0, 1, 1, 48
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\MethodologyPage.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 14
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\PrivacyPage.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 0, 16
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\ProfilePage.tsx", "TypeScript JSX", 0, 94, 0, 0, 0, 0, -2, 92
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\QuizPage.tsx", "TypeScript JSX", 0, 38, 0, 0, 0, -1, 1, 38
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\ScannerPage.tsx", "TypeScript JSX", 0, 280, 0, 0, 0, 32, 25, 337
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\SimulationModePage.tsx", "TypeScript JSX", 0, 220, 0, 0, 0, 9, 14, 243
"c:\Users\berni\Projects\DivorceSite\frontend\src\pages\TermsPage.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 0, 0, 17
"c:\Users\berni\Projects\DivorceSite\frontend\src\services\guidedMode.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 0, 9, 52
"c:\Users\berni\Projects\DivorceSite\frontend\src\services\imageProcessor.ts", "TypeScript", -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\berni\Projects\DivorceSite\frontend\src\services\legalEngine.ts", "TypeScript", 23, 0, 0, 0, 0, 34, 4, 61
"c:\Users\berni\Projects\DivorceSite\frontend\src\services\ocrWorker.ts", "TypeScript", -104, 0, 0, 0, 0, -4, -12, -120
"c:\Users\berni\Projects\DivorceSite\frontend\src\services\pdfGenerator.ts", "TypeScript", 69, 0, 0, 0, 0, 6, 2, 77
"c:\Users\berni\Projects\DivorceSite\frontend\vite.config.ts", "TypeScript", -90, 0, 0, 0, 0, 0, 0, -90
"Total", "-", -105, 1968, 51, 250, 139, 214, 152, 2669
