"filename", "language", "Docker", "Go Checksum File", "Go Module File", "Go", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "JavaScript", "XML", "PostCSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\berni\Projects\DivorceSite\backend\Dockerfile", "Docker", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15
"c:\Users\berni\Projects\DivorceSite\backend\go.mod", "Go Module File", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"c:\Users\berni\Projects\DivorceSite\backend\go.sum", "Go Checksum File", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 87
"c:\Users\berni\Projects\DivorceSite\backend\main.go", "Go", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 53
"c:\Users\berni\Projects\DivorceSite\frontend\Dockerfile", "Docker", -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -16
"c:\Users\berni\Projects\DivorceSite\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, -14, -74
"c:\Users\berni\Projects\DivorceSite\frontend\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -22, 0, 0, 0, 0, 0, -2, -24
"c:\Users\berni\Projects\DivorceSite\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -164, -12, -11, -187
"c:\Users\berni\Projects\DivorceSite\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, -9079, 0, 0, 0, 0, 0, 0, 0, -1, -9080
"c:\Users\berni\Projects\DivorceSite\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, -42, 0, 0, 0, 0, 0, 0, 0, -1, -43
"c:\Users\berni\Projects\DivorceSite\frontend\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, -1, -7
